rent,service,floor,age,auto_lock,year,walk,bus
13.3,.3,70.5,3.5833333,"No",1996,10,0
12.7,.8,69.69,2.1666667,"No",1996,1,0
11,0,63.01,0,"Yes",1996,5,5
10.7,.35,67.32,3.25,"No",1996,5,15
10.5,.25,55.27,1,"No",1996,10,0
10.5,.35,67.32,3.25,"No",1996,5,15
10.3,.2,52.5,1.6666667,"No",1996,10,0
10.1,.25,55.3,2.1666667,"No",1996,15,0
10,.5,55.77,0,"No",1996,10,0
9.9,.25,55.22,0,"No",1996,8,0
9.8,0,79.4,5.5,"Yes",1996,6,7
9.6,.5,55.77,0,"No",1996,10,0
9.3,.5,58.86,9.8333333,"No",1996,10,0
9.2,.8,58.39,0,"Yes",1996,1,10
9.1,.25,65.22,0,"No",1996,4,10
9.1,.25,43.42,2.6666667,"No",1996,10,0
9,.8,57.55,0,"Yes",1996,1,10
8.9,.25,65.22,0,"No",1996,4,10
8.9,.25,40.99,2.6666667,"No",1996,10,0
8.9,1,59.98,6,"No",1996,5,0
8.8,.25,50.69,2.9166667,"No",1996,5,0
8.7,.25,61.882,0,"No",1996,4,10
8.4,.3,53.76,10.583333,"No",1996,9,0
8.4,.2,49.5,1.6666667,"No",1996,2,8
8.3,.25,53.72,0,"No",1996,4,10
8.1,.2,44.71,4.0833333,"No",1996,8,0
8,.2,50,4.8333333,"No",1996,15,0
7.5,.2,41,6.8333333,"No",1996,8,0
7,.2,47,8.1666667,"No",1996,3,0
6.8,.3,39.74,1.5,"No",1996,1,10
6.7,0,27.65,7.5,"No",1996,5,0
6.3,.3,24.08,3.3333333,"Yes",1996,5,0
6.3,.2,26.39,9.4166667,"No",1996,15,0
6.2,.2,42,9.5,"No",1996,18,0
6.2,.3,22.33,7.4166667,"No",1996,3,0
6.1,.2,49,11.833333,"No",1996,18,0
6.1,.1,42,9.5,"No",1996,11,0
6,.3,23.77,8.5833333,"No",1996,5,0
18,0,85.59,0,"Yes",2004,1,15
17,0,85.59,0,"Yes",2004,1,15
16.5,0,85.59,0,"Yes",2004,1,15
16.3,0,85.59,0,"Yes",2004,1,15
16,0,85.59,0,"Yes",2004,1,15
15.5,0,85.59,0,"Yes",2004,1,15
15,0,85.59,0,"Yes",2004,1,15
14.2,0,85.59,0,"Yes",2004,1,15
14,0,85.59,0,"Yes",2004,1,15
14,0,85.59,0,"Yes",2004,1,15
14,0,85.59,0,"Yes",2004,1,15
13.4,0,62.88,0,"Yes",2004,1,15
13,0,62.88,0,"Yes",2004,1,15
13,0,62.88,0,"Yes",2004,1,15
13,0,62.88,0,"Yes",2004,1,15
13,0,62.86,0,"Yes",2004,1,15
12.9,0,77.86,3.0027397,"No",2004,3,20
12,0,62.88,0,"Yes",2004,1,15
12,0,62.88,0,"Yes",2004,1,15
12,0,69.69,9.5890411,"No",2004,1,0
11.5,0,62.88,0,"Yes",2004,1,15
11.5,0,62.88,0,"Yes",2004,1,15
11,0,62.88,0,"Yes",2004,1,15
11,0,62.88,0,"Yes",2004,1,15
11,0,85.59,0,"Yes",2004,1,15
10.9,0,75.41,7.2520548,"No",2004,1,10
10.3,0,85.37,0,"No",2004,3,15
10.3,0,85.37,0,"No",2004,5,15
10,0,56.7,18.928767,"No",2004,3,0
9.6,0,69.3,18.427397,"No",2004,3,0
10.3,0,71.07,8.8410959,"No",2004,1,0
9.5,0,69.3,23.093151,"No",2004,2,0
9.5,0,69.3,18.427397,"No",2004,3,0
9.7,0,65.35,16.010959,"No",2004,8,0
9.2,0,69.3,18.427397,"No",2004,3,0
9.2,0,69.3,23.093151,"No",2004,2,0
9,0,69.3,23.093151,"No",2004,2,0
9.5,0,50.31,32.438356,"No",2004,1,0
9.4,0,37.54,0,"No",2004,6,0
9.45,0,52.45,18.013699,"No",2004,7,0
9,0,56.7,18.928767,"No",2004,3,0
9,0,69.3,23.093151,"No",2004,2,0
9,0,60.5,16.427397,"No",2004,5,0
9,0,60.5,16.427397,"No",2004,5,0
9.3,0,55.8,16.090411,"No",2004,7,0
9,0,47.56,3.0027397,"Yes",2004,7,0
8.9,0,66,6.0054795,"No",2004,5,10
8.8,0,34.2,0,"No",2004,6,0
8.7,0,58.37,2.4986301,"No",2004,1,12
8,0,24.8,0,"No",2004,3,15
7.95,0,50.69,10.336986,"No",2004,5,10
7.6,0,40.84,11.50411,"No",2004,8,0
7.3,0,53.46,15.424658,"No",2004,10,0
7,0,24.8,0,"No",2004,3,15
7,0,24.8,0,"No",2004,3,15
7,0,24.8,0,"No",2004,3,15
7.2,0,24.55,2.0027397,"No",2004,5,0
6.9,0,24.8,0,"No",2004,3,15
6.9,0,24.8,0,"No",2004,3,15
7.3,0,24.92,0,"Yes",2004,13,0
7.3,0,24.92,0,"Yes",2004,13,0
7.2,0,24.92,0,"Yes",2004,13,0
6.9,0,53.46,14.087671,"No",2004,5,10
6.6,0,23.18,0,"No",2004,1,8
6.6,0,23.18,0,"No",2004,1,8
6.6,0,23.18,0,"No",2004,1,8
7.1,0,24.92,0,"Yes",2004,13,0
7.1,0,24.92,0,"Yes",2004,13,0
7.1,0,24.92,0,"Yes",2004,13,0
6.7,0,28.35,20.013699,"No",2004,8,0
6.5,0,23.18,0,"No",2004,1,8
6.9,0,24.92,0,"Yes",2004,13,0
6.9,0,24.92,0,"Yes",2004,13,0
6.8,0,56.7,15.010959,"No",2004,3,10
6.3,0,23.18,0,"No",2004,1,8
6.3,0,23.18,0,"No",2004,1,8
6.3,0,23.18,0,"No",2004,1,8
6.3,0,23.18,0,"No",2004,1,8
6.3,0,23.18,0,"No",2004,1,8
6.5,0,40.15,10.841096,"No",2004,3,10
6.4,0,22.4,10.336986,"No",2004,12,0
6.3,0,24.97,18.090411,"No",2004,3,0
5.9,0,40.07,14.424658,"No",2004,4,10
5.65,0,23.44,1.8356164,"No",2004,3,10
5.6,0,19.44,49.616438,"Yes",2004,10,0
4.8,0,18.41,27.515068,"No",2004,5,15
